Country,Code,Anxiety,Depression
South Sudan,SSD,3.553077,3.699147
Spain,ESP,5.280279,3.538359
Sri Lanka,LKA,3.369917,3.44333
Sudan,SDN,4.899048,3.781451
Suriname,SUR,4.56807,3.973583
Swaziland,SWZ,3.484456,4.067654
Sweden,SWE,5.293837,4.487911
Switzerland,CHE,5.359393,3.70806
Syria,SYR,4.974985,3.582073
Taiwan,TWN,3.444566,3.016543
Tajikistan,TJK,2.524336,2.563961
United Republic of Tanzania,TZA,3.636165,3.685748
Thailand,THA,3.329594,3.085057
Timor,TLS,3.232661,3.139087
Togo,TGO,2.910945,3.656725
Tonga,TON,3.297507,2.91897
Trinidad and Tobago,TTO,4.629351,3.329938
Tunisia,TUN,5.072361,3.915189
Turkey,TUR,3.9134,3.718658
Turkmenistan,TKM,2.567311,2.823086
Uganda,UGA,3.526626,4.918028
Ukraine,UKR,2.94177,4.071915
United Arab Emirates,ARE,4.263912,2.877426
United Kingdom,GBR,4.649861,4.119524
United States of America,USA,6.635055,4.83561
United States Virgin Islands,VIR,4.718338,2.925182
Uruguay,URY,6.317738,3.617574
Uzbekistan,UZB,2.560435,2.886924
Vanuatu,VUT,3.218816,3.122695
Venezuela,VEN,2.866789,2.814584
Vietnam,VNM,2.066871,2.87945
World,OWID_WRL,3.764811,3.441087
Yemen,YEM,4.857207,4.012346
Zambia,ZMB,3.599714,3.641811
Zimbabwe,ZWE,3.110926,3.192789
